Razón social;Nombre de establecimiento;ID establecimiento (VU);CIIU4;Rubro RETC;Ducto;Tipo de Contaminante;Emisión (toneladas);Año;Norma;Región;Provincia;Comuna;Huso;Coordenada norte;Coordenada este
ENEL GENERACION CHILE S.A.;CENTRAL TERMOELECTRICA BOCAMINA U1;5441923;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;819;Sulfatos;532390,32;2017;DS90/2000 del MINSEGPRES;Biobío;Concepción;Coronel;18.0;5901210.0;663174.0
EMPRESA ELECTRICA VENTANAS S.A;CENTRAL TERMOELÉCTRICA NUEVA VENTANAS;309729;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;82;Cloruros;444133,8;2017;DS90/2000 del MINSEGPRES;Valparaíso;Valparaíso;Puchuncaví;19.0;6373430.0;267716.0
E.CL S.A.;CENTRAL TERMICA TOCOPILLA;5441787;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;55;Cloruros;356072,64;2017;DS90/2000 del MINSEGPRES;Antofagasta;Tocopilla;Tocopilla;19.0;7556040.0;374777.0
E.CL S.A.;CENTRAL TERMICA TOCOPILLA;5441787;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;57;Cloruros;280481,6678;2017;DS90/2000 del MINSEGPRES;Antofagasta;Tocopilla;Tocopilla;19.0;7556040.0;374777.0
E.CL S.A.;CENTRAL TERMICA TOCOPILLA;5441787;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;56;Cloruros;263703,3062;2017;DS90/2000 del MINSEGPRES;Antofagasta;Tocopilla;Tocopilla;19.0;7556040.0;374777.0
CORP NACIONAL DEL COBRE DE CHILE;CODELCO CHILE DIVISION EL TENIENTE ALHUE;4590502;EXTRACCIÓN DE COBRE.;Extracción de minerales;238;Sulfatos;216160,9156;2017;DS80/2006 del MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA;Metropolitana;Melipilla;Alhué;19.0;6225415.0;298049.0
AES GENER S A;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;85823;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;84;Cloruros;193528,3046;2017;DS90/2000 del MINSEGPRES;Valparaíso;Valparaíso;Puchuncaví;19.0;6373424.0;267718.0
AES GENER S A;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;85823;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;83;Cloruros;132624,0432;2017;DS90/2000 del MINSEGPRES;Valparaíso;Valparaíso;Puchuncaví;19.0;6373424.0;267718.0
SEAFOOD RESOURCES CHILE S A;SRC;5441806;ELABORACIÓN Y CONSERVACIÓN DE PESCADO Y PRODUCTO DE PESCADO;Producción de alimentos;80;Cloruros;89298,26496;2017;DS90/2000 del MINSEGPRES;Valparaíso;Petorca;La Ligua;19.0;6429099.0;265756.0
E.CL S.A.;CENTRAL TERMICA TOCOPILLA;5441787;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;56;Sulfatos;38335,84128;2017;DS90/2000 del MINSEGPRES;Antofagasta;Tocopilla;Tocopilla;19.0;7556040.0;374777.0
